Category: All categories,
,
Month,Apple: (United States)
2004-01,12
2004-02,12
2004-03,11
2004-04,11
2004-05,11
2004-06,12
2004-07,14
2004-08,15
2004-09,15
2004-10,15
2004-11,14
2004-12,19
2005-01,21
2005-02,19
2005-03,17
2005-04,17
2005-05,19
2005-06,19
2005-07,18
2005-08,19
2005-09,21
2005-10,22
2005-11,22
2005-12,26
2006-01,23
2006-02,19
2006-03,18
2006-04,19
2006-05,19
2006-06,19
2006-07,20
2006-08,24
2006-09,25
2006-10,22
2006-11,22
2006-12,25
2007-01,29
2007-02,22
2007-03,21
2007-04,20
2007-05,20
2007-06,27
2007-07,25
2007-08,25
2007-09,32
2007-10,28
2007-11,30
2007-12,32
2008-01,30
2008-02,27
2008-03,27
2008-04,24
2008-05,24
2008-06,28
2008-07,33
2008-08,29
2008-09,29
2008-10,28
2008-11,29
2008-12,32
2009-01,27
2009-02,24
2009-03,25
2009-04,22
2009-05,23
2009-06,30
2009-07,25
2009-08,26
2009-09,28
2009-10,26
2009-11,28
2009-12,29
2010-01,32
2010-02,24
2010-03,23
2010-04,28
2010-05,26
2010-06,37
2010-07,32
2010-08,29
2010-09,32
2010-10,30
2010-11,33
2010-12,33
2011-01,32
2011-02,30
2011-03,38
2011-04,32
2011-05,32
2011-06,36
2011-07,35
2011-08,36
2011-09,33
2011-10,60
2011-11,46
2011-12,42
2012-01,36
2012-02,33
2012-03,40
2012-04,33
2012-05,31
2012-06,36
2012-07,33
2012-08,35
2012-09,57
2012-10,43
2012-11,44
2012-12,45
2013-01,35
2013-02,32
2013-03,30
2013-04,28
2013-05,28
2013-06,35
2013-07,31
2013-08,32
2013-09,50
2013-10,37
2013-11,38
2013-12,37
2014-01,30
2014-02,28
2014-03,27
2014-04,27
2014-05,28
2014-06,30
2014-07,28
2014-08,30
2014-09,58
2014-10,39
2014-11,38
2014-12,35
2015-01,29
2015-02,28
2015-03,32
2015-04,29
2015-05,28
2015-06,30
2015-07,32
2015-08,32
2015-09,47
2015-10,36
2015-11,35
2015-12,35
2016-01,30
2016-02,30
2016-03,32
2016-04,29
2016-05,28
2016-06,30
2016-07,29
2016-08,29
2016-09,42
2016-10,34
2016-11,36
2016-12,36
2017-01,29
2017-02,26
2017-03,28
2017-04,26
2017-05,28
2017-06,31
2017-07,31
2017-08,31
2017-09,40
2017-10,33
2017-11,39
2017-12,41
2018-01,34
2018-02,31
2018-03,30
2018-04,30
2018-05,29
2018-06,30
2018-07,32
2018-08,34
2018-09,41
2018-10,34
2018-11,39
2018-12,39
2019-01,34
2019-02,29
2019-03,31
2019-04,28
2019-05,29
2019-06,32
2019-07,31
2019-08,40
2019-09,100
2019-10,34
2019-11,40
2019-12,41
2020-01,32
2020-02,29
2020-03,32
2020-04,33
2020-05,34
2020-06,36
2020-07,37
2020-08,44
2020-09,43
2020-10,42
2020-11,40
2020-12,43
2021-01,36
2021-02,33
2021-03,31
2021-04,33
2021-05,32
2021-06,33
2021-07,31
2021-08,34
2021-09,43
2021-10,40
2021-11,42
2021-12,44
2022-01,37
2022-02,34
2022-03,35
